"","sample","fit_r2","ox_initial","t_initial","dmax","tmax_h","se","auc","hauc","width","t1_h","t2_h","hwidth"
"386","191002_510_D3",0.9963,377.568392678073,13.793,40.1206005827601,26.673,0.966978985648354,101.45444120321,101.45444120321,1.775,24.898,26.673,1.775
"387","191002_510_A4",0.9953,377.530533629331,13.793,38.0048771890688,26.673,1.24823029817832,109.931101423962,109.931101423962,1.82583333333334,24.8471666666667,26.673,1.82583333333334
"388","191002_510_B4",0.9916,377.491923309279,13.793,26.3108394588937,26.673,1.24006806325675,82.8952965566075,82.8952965566075,2.485,24.188,26.673,2.485
"389","191002_510_C4",0.9974,377.4528877307,13.793,38.2889668400026,26.673,0.950232550524209,111.578506990116,111.578506990116,2.18083333333334,24.4921666666667,26.673,2.18083333333334
"390","191002_510_D4",0.9907,377.4136344383,13.793,24.2619692931851,26.673,1.000812423525,79.6959714660767,79.6959714660767,2.485,24.188,26.673,2.485
"391","191002_510_A5",0.9979,377.373982911621,13.793,198.59080348889,22.3625,0.71732235895435,890.393075408628,890.393075408628,3.70166666666667,20.6891666666667,24.3908333333333,1.67333333333334
"392","191002_510_B5",0.9991,377.334401406748,13.793,203.721207745351,23.2753333333333,0.280647593029089,930.299459176877,930.299459176877,4.00583333333334,20.9428333333333,24.9486666666667,1.67333333333334
"393","191002_510_C5",0.9996,377.294444907927,13.793,189.122328415457,23.7316666666667,0.496123257024689,1012.41781734755,1012.41781734755,5.02016666666667,20.9428333333333,25.963,2.23133333333333
"394","191002_510_D5",0.9992,377.254714270214,13.793,203.540288314543,24.1371666666667,0.709628760744129,888.870269880818,888.870269880818,3.7525,22.312,26.0645,1.82516666666666
"395","191002_510_A6",0.9991,377.214762509104,13.793,248.937487336948,26.673,3.86111561577614,749.071022957578,749.071022957578,2.43416666666667,24.2388333333333,26.673,2.43416666666667
"396","191002_510_B6",0.997,377.175060095527,13.793,118.900694661048,26.673,1.96038171090571,231.480866321057,231.480866321057,1.11583333333333,25.5571666666667,26.673,1.11583333333333
